"","x"
"640",5
"641",5
"642",2
"643",15
"644",19
"645",17
"646",19
"647",1
"648",17
"649",5
"650",20
"651",5
"652",20
"653",1
"654",17
"655",16
"656",8
"657",11
"658",19
"659",1
"660",14
"661",1
"662",5
"663",5
"664",15
"665",5
"666",19
"667",5
"668",17
"669",5
"670",15
"671",14
"672",19
"673",6
"674",17
"675",6
"676",17
"677",14
"678",17
"679",1
"680",18
"681",1
"682",17
"683",17
"684",5
"685",5
"686",1
"687",19
"688",11
"689",5
"690",4
"691",5
"692",14
"693",1
"694",5
"695",1
"696",1
"697",19
"698",5
"699",18
"700",19
"701",3
"702",1
"703",5
"704",18
"705",1
"706",19
"707",1
"708",10
"709",18
"710",4
"711",17
"712",16
"713",18
"714",17
"715",9
"716",15
"717",2
"718",1
"719",1
"720",17
"721",1
"722",3
"723",1
"724",2
"725",1
"726",18
"727",1
"728",6
"729",7
"730",17
"731",18
"732",6
"733",3
"734",5
"735",4
"736",5
"737",20
"738",5
"739",20
"740",1
"741",18
"742",18
"743",1
"744",18
"745",20
"746",10
"747",20
"748",6
"749",6
"750",1
"751",5
"752",7
"753",9
"754",14
"755",17
"756",13
"757",2
"758",4
"759",19
"760",1
"761",5
"762",2
"763",9
"764",19
"765",5
"766",11
"767",15
"768",18
"769",19
"770",4
"771",19
"772",1
"773",5
"774",8
"775",5
"776",19
"777",5
"778",1
"779",8
"780",1
"781",2
"782",17
"783",6
"784",16
"785",19
"786",5
"787",19
"788",1
"789",18
"790",16
"791",18
"792",20
"793",2
"794",8
"795",1
"796",18
"797",1
"798",17
"799",19
"800",20
"801",17
"802",2
"803",1
"804",1
"805",1
"806",2
"807",16
"808",1
"809",16
"810",17
"811",17
"812",1
"813",7
"814",19
"815",1
"816",4
"817",6
"818",5
"819",5
"820",18
"821",1
"822",19
"823",6
"824",17
"825",4
"826",19
"827",4
"828",19
"829",1
"830",5
"831",5
"832",17
"833",15
"834",19
"835",19
"836",19
"837",5
"838",17
"839",6
"840",1
"841",5
"842",5
"843",18
"844",1
"845",1
"846",1
"847",4
"848",17
"849",5
"850",15
"851",20
"852",1
"853",1
"854",9
"855",16
"856",5
"857",17
"858",11
"859",19
"860",18
"861",19
"862",20
"863",4
"864",3
"865",1
"866",17
"867",1
"868",8
"869",11
"870",6
"871",6
"872",19
"873",18
"874",5
"875",1
"876",19
"877",10
"878",5
"879",17
"880",17
"881",5
"882",6
"883",5
"884",17
"885",1
"886",1
"887",2
"888",6
"889",1
"890",1
"891",13
"892",5
"893",1
"894",19
"895",19
"896",12
"897",2
"898",13
"899",19
"900",1
"901",1
"902",10
"903",7
"904",19
"905",1
"906",1
"907",17
"908",2
"909",10
"910",5
"911",1
"912",1
"913",7
"914",19
"915",7
"916",6
"917",8
"918",6
"919",2
"920",19
"921",17
"922",17
"923",5
"924",3
"925",2
"926",15
"927",17
"928",7
"929",1
"930",17
"931",9
"932",7
"933",3
"934",1
"935",5
"936",5
"937",19
"938",19
"939",2
"940",6
"941",5
"942",18
"943",5
"944",17
"945",1
"946",17
"947",16
"948",1
"949",9
"950",11
"951",13
"952",11
"953",7
"954",3
"955",13
"956",1
"957",17
"958",6
"959",20
"960",13
"961",9
"962",8
"963",1
"964",5
"965",1
"966",1
"967",3
"968",17
"969",17
"970",5
"971",1
"972",5
"973",7
"974",5
"975",8
"976",3
"977",1
"978",5
"979",19
"980",1
"981",13
"982",6
"983",5
"984",20
"985",9
"986",5
"987",12
"988",1
"989",1
"990",1
"991",1
"992",5
"993",17
"994",6
"995",5
"996",8
"997",18
"998",5
"999",4
"1000",5
"1001",20
"1002",16
"1003",20
"1004",1
"1005",17
"1006",5
"1007",20
"1008",15
"1009",13
"1010",18
"1011",5
"1012",5
"1013",9
"1014",5
"1015",17
"1016",2
"1017",5
"1018",17
"1019",12
"1020",1
"1021",17
"1022",17
"1023",18
"1024",5
"1025",8
"1026",4
"1027",5
"1028",1
"1029",18
"1030",19
"1031",15
"1032",20
"1033",1
"1034",17
"1035",6
"1036",1
"1037",6
"1038",1
"1039",1
"1040",17
"1041",5
"1042",15
"1043",20
"1044",2
"1045",5
"1046",5
"1047",13
"1048",18
"1049",19
"1050",19
"1051",5
"1052",17
"1053",17
