"","x"
"2494",2
"2495",2
"2496",1
"2497",7
"2498",1
"2499",1
"2500",5
"2501",1
"2502",4
"2503",1
"2504",17
"2505",1
"2506",20
"2507",16
"2508",1
"2509",5
"2510",12
"2511",2
"2512",3
"2513",19
"2514",9
"2515",1
"2516",19
"2517",17
"2518",9
"2519",2
"2520",12
"2521",5
"2522",1
"2523",17
"2524",17
"2525",16
"2526",8
"2527",1
"2528",5
"2529",9
"2530",1
"2531",16
"2532",17
"2533",9
"2534",8
"2535",11
"2536",18
"2537",6
"2538",5
"2539",20
"2540",5
"2541",3
"2542",19
"2543",13
"2544",5
"2545",17
"2546",5
"2547",8
"2548",16
"2549",5
"2550",19
"2551",5
"2552",5
"2553",17
"2554",8
"2555",11
"2556",11
"2557",5
"2558",2
"2559",1
"2560",19
"2561",6
"2562",9
"2563",5
"2564",9
"2565",18
"2566",17
"2567",5
"2568",5
"2569",17
"2570",1
"2571",6
"2572",5
"2573",2
"2574",17
"2575",17
"2576",6
"2577",17
"2578",5
"2579",6
"2580",4
"2581",5
"2582",1
"2583",3
"2584",1
"2585",1
"2586",1
"2587",5
"2588",17
"2589",17
"2590",17
"2591",5
"2592",7
"2593",18
"2594",5
"2595",17
"2596",9
"2597",4
"2598",5
"2599",1
"2600",1
"2601",4
"2602",5
"2603",1
"2604",17
"2605",15
"2606",18
"2607",19
"2608",10
"2609",16
"2610",6
"2611",4
"2612",19
"2613",9
"2614",17
"2615",16
"2616",1
"2617",1
"2618",5
"2619",17
"2620",1
"2621",4
"2622",7
"2623",19
"2624",17
"2625",15
"2626",10
"2627",20
"2628",7
"2629",2
"2630",9
"2631",18
"2632",1
"2633",5
"2634",17
"2635",2
"2636",5
"2637",7
"2638",1
"2639",1
"2640",1
"2641",1
"2642",5
"2643",4
"2644",8
"2645",3
"2646",17
"2647",17
"2648",12
"2649",6
"2650",18
"2651",18
"2652",17
"2653",4
"2654",1
"2655",19
"2656",17
"2657",4
"2658",11
"2659",1
"2660",5
"2661",11
"2662",1
"2663",17
"2664",1
"2665",8
"2666",1
"2667",2
"2668",5
"2669",1
"2670",1
"2671",9
"2672",6
"2673",13
"2674",19
"2675",6
"2676",19
"2677",19
"2678",18
"2679",7
"2680",1
"2681",19
"2682",1
"2683",1
"2684",5
"2685",5
"2686",5
"2687",13
"2688",7
"2689",1
"2690",7
"2691",1
"2692",1
"2693",17
"2694",5
"2695",1
"2696",17
"2697",4
"2698",18
"2699",1
"2700",9
"2701",1
"2702",9
"2703",17
"2704",19
"2705",1
"2706",3
"2707",10
"2708",19
"2709",16
"2710",5
"2711",1
"2712",1
"2713",4
"2714",17
"2715",5
"2716",1
"2717",1
"2718",9
"2719",6
"2720",4
"2721",13
"2722",17
"2723",19
"2724",2
"2725",6
"2726",18
"2727",17
"2728",17
"2729",15
"2730",1
"2731",5
"2732",17
"2733",1
"2734",5
"2735",9
"2736",7
"2737",9
"2738",1
"2739",2
"2740",1
"2741",17
"2742",5
"2743",1
"2744",17
"2745",13
"2746",1
"2747",6
"2748",9
"2749",1
"2750",1
"2751",6
"2752",10
"2753",20
"2754",1
"2755",6
"2756",1
"2757",17
"2758",5
"2759",5
"2760",20
"2761",1
"2762",15
"2763",1
"2764",5
"2765",19
"2766",19
"2767",18
"2768",9
"2769",5
"2770",2
"2771",5
"2772",9
"2773",15
"2774",17
"2775",6
"2776",1
"2777",9
"2778",5
"2779",17
"2780",13
"2781",18
"2782",6
"2783",19
"2784",2
"2785",11
"2786",9
"2787",5
"2788",5
"2789",4
"2790",5
"2791",5
"2792",19
"2793",20
"2794",15
"2795",17
"2796",1
"2797",18
"2798",18
"2799",1
"2800",10
"2801",18
"2802",1
"2803",5
"2804",17
"2805",1
"2806",20
"2807",5
"2808",2
"2809",20
"2810",6
"2811",5
"2812",1
"2813",2
"2814",1
"2815",1
"2816",20
"2817",5
"2818",1
"2819",15
"2820",17
"2821",1
"2822",5
"2823",7
"2824",12
"2825",9
"2826",18
"2827",20
"2828",2
"2829",1
"2830",15
"2831",13
"2832",3
"2833",5
"2834",1
"2835",2
"2836",9
"2837",4
"2838",5
"2839",7
"2840",19
"2841",15
"2842",6
"2843",19
"2844",10
"2845",3
"2846",2
"2847",1
"2848",1
"2849",18
"2850",1
"2851",11
"2852",19
"2853",13
"2854",1
"2855",2
"2856",18
"2857",10
"2858",5
"2859",5
"2860",17
"2861",1
"2862",2
"2863",5
"2864",1
"2865",17
"2866",2
"2867",17
"2868",6
"2869",1
"2870",17
"2871",1
"2872",9
"2873",13
"2874",1
"2875",5
"2876",3
"2877",5
"2878",6
"2879",15
"2880",20
"2881",1
"2882",20
"2883",19
"2884",2
"2885",1
"2886",9
"2887",1
"2888",5
"2889",19
"2890",3
"2891",17
"2892",6
"2893",14
"2894",2
"2895",10
"2896",4
"2897",3
"2898",2
"2899",7
"2900",13
"2901",1
"2902",18
"2903",18
"2904",19
"2905",5
"2906",1
"2907",8
"2908",8
"2909",20
"2910",5
"2911",3
"2912",1
"2913",5
"2914",14
"2915",15
"2916",1
"2917",15
"2918",2
"2919",13
"2920",9
"2921",6
"2922",5
"2923",6
"2924",17
"2925",2
"2926",5
"2927",11
"2928",1
"2929",4
"2930",1
"2931",2
"2932",8
"2933",7
"2934",17
"2935",19
"2936",7
"2937",3
"2938",1
"2939",17
"2940",10
"2941",17
"2942",4
"2943",5
"2944",1
"2945",6
"2946",18
"2947",8
"2948",9
"2949",5
"2950",7
"2951",1
"2952",3
"2953",9
"2954",18
"2955",20
"2956",19
"2957",19
"2958",15
"2959",20
"2960",5
"2961",5
"2962",14
"2963",19
"2964",12
"2965",1
"2966",5
"2967",4
"2968",12
"2969",12
"2970",7
"2971",17
"2972",2
"2973",5
"2974",7
"2975",20
"2976",19
"2977",5
"2978",13
"2979",8
"2980",7
"2981",7
"2982",19
"2983",18
"2984",18
"2985",16
"2986",19
"2987",19
"2988",7
"2989",5
"2990",14
"2991",5
"2992",1
"2993",18
"2994",5
"2995",20
"2996",17
"2997",3
"2998",7
"2999",2
"3000",5
"3001",19
"3002",2
"3003",17
"3004",11
"3005",4
"3006",18
"3007",4
"3008",2
"3009",7
"3010",5
"3011",1
"3012",6
"3013",1
"3014",18
"3015",5
"3016",1
"3017",1
"3018",4
"3019",19
"3020",1
"3021",1
"3022",6
"3023",9
"3024",11
"3025",2
"3026",17
"3027",5
"3028",5
"3029",17
"3030",5
"3031",5
"3032",17
"3033",5
"3034",1
"3035",3
"3036",1
"3037",1
"3038",19
"3039",15
"3040",19
"3041",5
"3042",18
"3043",13
"3044",19
"3045",17
"3046",5
"3047",5
"3048",1
"3049",5
"3050",2
"3051",1
"3052",14
"3053",4
"3054",17
"3055",9
"3056",17
"3057",1
"3058",17
"3059",2
"3060",5
"3061",15
"3062",2
"3063",1
"3064",9
"3065",1
"3066",16
"3067",17
"3068",5
"3069",19
"3070",5
"3071",13
"3072",17
"3073",17
"3074",1
"3075",5
"3076",7
"3077",20
"3078",10
"3079",9
"3080",17
"3081",3
"3082",5
"3083",17
"3084",19
"3085",20
"3086",1
"3087",6
"3088",8
"3089",6
"3090",3
"3091",16
"3092",18
"3093",3
"3094",5
"3095",18
"3096",19
"3097",3
"3098",18
"3099",17
"3100",19
"3101",9
"3102",1
"3103",19
"3104",13
"3105",17
"3106",3
"3107",1
"3108",1
"3109",5
"3110",1
"3111",1
"3112",3
"3113",18
"3114",5
"3115",5
"3116",17
"3117",1
"3118",3
"3119",1
"3120",20
"3121",4
"3122",1
"3123",15
"3124",1
"3125",17
"3126",1
"3127",20
"3128",19
"3129",1
"3130",8
"3131",15
"3132",19
"3133",1
"3134",3
"3135",1
"3136",9
"3137",1
"3138",2
"3139",19
"3140",5
"3141",5
"3142",10
"3143",2
"3144",12
"3145",1
"3146",4
"3147",1
"3148",9
"3149",16
"3150",9
"3151",5
"3152",4
"3153",5
"3154",1
"3155",18
"3156",20
"3157",3
"3158",3
"3159",18
"3160",3
"3161",19
"3162",17
"3163",3
"3164",5
"3165",5
"3166",15
"3167",1
"3168",1
"3169",3
"3170",1
"3171",8
"3172",1
"3173",2
"3174",9
"3175",5
"3176",15
"3177",19
"3178",19
"3179",18
"3180",1
"3181",1
"3182",9
"3183",5
"3184",14
"3185",9
"3186",4
"3187",5
"3188",20
"3189",18
"3190",1
"3191",5
"3192",20
"3193",5
"3194",2
"3195",9
"3196",19
"3197",6
"3198",17
"3199",2
"3200",9
"3201",5
"3202",6
"3203",5
"3204",1
"3205",20
"3206",1
"3207",20
"3208",20
"3209",5
"3210",7
"3211",5
"3212",17
"3213",18
"3214",5
"3215",5
"3216",11
"3217",7
"3218",5
"3219",13
"3220",1
"3221",18
"3222",17
"3223",5
"3224",1
"3225",1
"3226",18
"3227",3
"3228",1
"3229",3
"3230",7
"3231",5
"3232",20
"3233",17
"3234",8
"3235",1
"3236",1
"3237",1
"3238",1
"3239",11
"3240",6
"3241",19
"3242",1
"3243",5
"3244",17
"3245",3
"3246",2
"3247",5
"3248",1
"3249",17
"3250",6
"3251",8
"3252",19
"3253",2
"3254",19
"3255",11
"3256",19
"3257",7
"3258",7
"3259",2
"3260",20
"3261",5
"3262",1
"3263",4
"3264",18
"3265",18
"3266",14
"3267",1
"3268",9
"3269",4
"3270",8
"3271",15
"3272",14
"3273",6
"3274",1
"3275",10
"3276",1
"3277",18
"3278",1
"3279",17
"3280",18
"3281",9
"3282",1
"3283",5
"3284",17
"3285",15
"3286",19
"3287",8
"3288",8
"3289",2
"3290",1
"3291",5
"3292",1
"3293",1
"3294",5
"3295",1
"3296",5
"3297",17
"3298",6
"3299",1
"3300",1
"3301",19
"3302",5
"3303",2
"3304",16
"3305",17
"3306",3
"3307",14
"3308",1
"3309",1
"3310",8
"3311",1
"3312",17
"3313",19
"3314",5
"3315",1
"3316",5
"3317",18
"3318",11
"3319",1
"3320",1
"3321",1
"3322",13
"3323",5
"3324",18
"3325",9
"3326",1
"3327",13
"3328",2
"3329",11
"3330",18
"3331",3
"3332",1
"3333",7
"3334",19
"3335",5
"3336",17
"3337",18
"3338",17
"3339",19
"3340",7
"3341",5
"3342",1
"3343",1
"3344",1
"3345",19
"3346",11
"3347",3
"3348",1
"3349",5
"3350",6
"3351",20
"3352",1
"3353",6
"3354",19
"3355",17
"3356",6
"3357",5
"3358",6
"3359",17
"3360",8
"3361",18
"3362",17
"3363",5
"3364",1
"3365",1
"3366",5
"3367",1
"3368",1
"3369",1
"3370",6
"3371",6
"3372",6
"3373",1
"3374",5
"3375",10
"3376",5
"3377",11
"3378",5
"3379",1
"3380",5
"3381",5
"3382",13
"3383",17
"3384",5
"3385",11
"3386",19
"3387",13
"3388",1
"3389",5
"3390",19
"3391",5
"3392",19
"3393",5
"3394",17
"3395",11
"3396",20
"3397",5
"3398",19
"3399",9
"3400",4
"3401",17
"3402",13
"3403",10
"3404",1
"3405",9
"3406",2
"3407",6
"3408",5
"3409",2
"3410",5
"3411",7
"3412",3
"3413",8
"3414",7
"3415",3
"3416",18
"3417",15
"3418",19
"3419",1
"3420",6
"3421",17
"3422",13
"3423",2
"3424",18
"3425",6
"3426",1
"3427",1
"3428",5
"3429",16
"3430",16
"3431",5
"3432",5
"3433",8
"3434",10
"3435",5
"3436",13
"3437",5
"3438",16
"3439",5
"3440",18
"3441",17
"3442",1
"3443",1
"3444",17
"3445",18
"3446",1
"3447",17
"3448",18
"3449",17
"3450",4
"3451",20
"3452",17
"3453",1
"3454",5
"3455",9
"3456",1
"3457",5
"3458",16
"3459",1
"3460",3
"3461",5
"3462",5
"3463",1
"3464",8
"3465",11
"3466",1
"3467",1
"3468",18
"3469",18
"3470",5
"3471",17
"3472",5
"3473",2
"3474",18
"3475",10
"3476",15
"3477",4
"3478",15
"3479",17
"3480",5
"3481",11
"3482",17
"3483",6
"3484",9
"3485",1
"3486",5
"3487",18
"3488",5
"3489",20
"3490",1
"3491",3
"3492",1
"3493",5
"3494",6
"3495",5
"3496",4
"3497",5
"3498",1
"3499",20
"3500",1
"3501",9
"3502",20
"3503",4
"3504",18
"3505",11
"3506",5
"3507",1
"3508",18
"3509",19
"3510",1
"3511",1
"3512",18
"3513",1
"3514",5
"3515",17
"3516",1
"3517",19
"3518",7
"3519",1
"3520",4
"3521",17
"3522",8
"3523",1
"3524",10
"3525",9
"3526",6
"3527",1
"3528",1
"3529",6
"3530",5
"3531",5
"3532",7
"3533",1
"3534",9
"3535",16
"3536",1
"3537",5
"3538",10
"3539",1
"3540",9
"3541",19
"3542",1
"3543",3
"3544",10
"3545",17
"3546",17
"3547",1
"3548",5
"3549",8
"3550",19
"3551",5
"3552",18
"3553",6
"3554",1
"3555",15
"3556",2
"3557",5
"3558",11
"3559",3
"3560",19
"3561",4
"3562",5
"3563",1
"3564",1
"3565",1
"3566",19
"3567",3
"3568",10
"3569",4
"3570",8
"3571",18
"3572",5
"3573",6
"3574",5
"3575",17
"3576",5
"3577",7
"3578",15
"3579",5
"3580",20
"3581",1
"3582",5
"3583",9
"3584",9
"3585",1
"3586",17
"3587",4
"3588",1
"3589",1
"3590",20
"3591",17
"3592",5
"3593",5
"3594",17
"3595",5
"3596",20
"3597",17
"3598",5
"3599",13
"3600",1
"3601",1
"3602",5
"3603",5
"3604",3
"3605",9
"3606",3
"3607",17
"3608",18
"3609",1
"3610",1
"3611",2
"3612",15
"3613",1
"3614",17
"3615",5
"3616",9
"3617",1
"3618",15
"3619",19
"3620",10
"3621",5
"3622",5
"3623",18
"3624",14
"3625",6
"3626",15
"3627",17
"3628",19
"3629",17
"3630",17
"3631",11
"3632",17
"3633",1
"3634",5
"3635",9
"3636",5
"3637",2
"3638",7
"3639",11
"3640",20
"3641",6
"3642",5
"3643",19
"3644",17
"3645",5
"3646",5
"3647",14
"3648",1
"3649",17
"3650",5
"3651",16
"3652",17
"3653",5
"3654",6
"3655",3
"3656",1
"3657",17
"3658",5
"3659",5
"3660",5
"3661",8
"3662",18
"3663",9
"3664",5
"3665",16
"3666",17
"3667",1
"3668",5
"3669",3
"3670",3
"3671",19
"3672",2
"3673",17
"3674",1
"3675",5
"3676",1
"3677",1
"3678",5
"3679",13
"3680",6
"3681",18
"3682",9
"3683",17
"3684",1
"3685",20
"3686",7
"3687",11
"3688",5
"3689",15
"3690",15
"3691",5
"3692",5
"3693",20
"3694",5
"3695",5
"3696",1
"3697",19
"3698",17
"3699",17
"3700",1
"3701",13
"3702",7
"3703",17
"3704",17
"3705",13
"3706",1
"3707",5
"3708",17
"3709",19
"3710",4
"3711",2
"3712",9
"3713",9
"3714",1
"3715",1
"3716",19
"3717",1
"3718",8
"3719",3
"3720",9
"3721",1
"3722",9
"3723",9
"3724",4
"3725",13
"3726",20
"3727",20
"3728",3
"3729",5
"3730",9
"3731",11
"3732",1
"3733",18
"3734",1
"3735",1
"3736",19
"3737",1
"3738",18
"3739",19
"3740",1
"3741",1
"3742",18
"3743",18
"3744",18
"3745",1
"3746",1
"3747",9
"3748",19
"3749",19
"3750",15
"3751",1
"3752",7
"3753",6
"3754",16
"3755",6
"3756",2
"3757",3
"3758",8
"3759",18
"3760",19
"3761",8
"3762",7
"3763",18
"3764",1
"3765",1
"3766",17
"3767",20
"3768",18
"3769",19
"3770",10
"3771",19
"3772",5
"3773",1
"3774",1
"3775",5
"3776",6
"3777",3
"3778",19
"3779",17
"3780",4
"3781",5
"3782",17
"3783",17
"3784",1
"3785",11
"3786",9
"3787",1
"3788",9
"3789",17
"3790",11
"3791",18
"3792",2
"3793",1
"3794",19
"3795",11
"3796",7
"3797",1
"3798",19
"3799",11
"3800",1
"3801",2
"3802",17
"3803",1
"3804",1
"3805",19
"3806",1
"3807",11
"3808",10
"3809",20
"3810",1
"3811",1
"3812",7
"3813",18
"3814",1
"3815",1
"3816",18
"3817",5
"3818",1
"3819",17
"3820",5
"3821",18
"3822",5
"3823",9
"3824",1
"3825",1
"3826",1
"3827",18
"3828",5
"3829",8
"3830",20
"3831",1
"3832",17
"3833",6
"3834",1
"3835",6
"3836",13
"3837",19
"3838",19
"3839",1
"3840",5
"3841",4
"3842",5
"3843",11
"3844",15
"3845",6
"3846",5
"3847",1
"3848",4
"3849",19
"3850",5
"3851",19
"3852",5
"3853",3
"3854",9
"3855",2
"3856",18
"3857",17
"3858",20
"3859",5
"3860",16
"3861",6
"3862",1
"3863",5
"3864",1
"3865",19
"3866",14
"3867",5
"3868",1
"3869",17
"3870",5
"3871",20
"3872",19
"3873",19
"3874",17
"3875",20
"3876",9
"3877",17
"3878",5
"3879",6
"3880",12
"3881",9
"3882",18
"3883",5
"3884",17
"3885",1
"3886",2
"3887",8
"3888",17
"3889",1
"3890",19
"3891",5
"3892",13
"3893",6
"3894",18
"3895",8
"3896",13
"3897",1
"3898",3
"3899",20
"3900",2
"3901",6
"3902",4
"3903",5
"3904",2
"3905",18
"3906",9
"3907",17
"3908",1
"3909",5
"3910",5
"3911",5
"3912",3
"3913",9
"3914",3
"3915",3
"3916",5
"3917",1
"3918",18
"3919",13
"3920",1
"3921",15
"3922",17
"3923",18
"3924",17
"3925",19
"3926",19
"3927",9
"3928",14
"3929",19
"3930",20
"3931",5
"3932",9
"3933",5
"3934",6
"3935",18
"3936",17
"3937",5
"3938",5
"3939",17
"3940",1
"3941",15
"3942",1
"3943",5
"3944",16
"3945",2
"3946",11
"3947",4
"3948",9
"3949",1
"3950",13
"3951",5
"3952",17
"3953",9
"3954",20
"3955",17
"3956",17
"3957",1
"3958",16
"3959",5
"3960",5
"3961",12
"3962",18
"3963",6
"3964",20
"3965",17
"3966",5
"3967",5
"3968",11
"3969",5
"3970",1
"3971",5
"3972",8
"3973",1
"3974",5
"3975",1
"3976",5
"3977",6
"3978",12
"3979",5
"3980",3
"3981",6
"3982",4
"3983",1
"3984",4
"3985",3
"3986",1
"3987",1
"3988",1
"3989",4
"3990",17
"3991",1
"3992",18
"3993",20
"3994",20
"3995",6
"3996",1
"3997",19
"3998",17
"3999",4
"4000",13
"4001",17
"4002",1
"4003",6
"4004",12
"4005",1
"4006",5
"4007",17
"4008",5
"4009",17
"4010",19
"4011",5
"4012",17
"4013",13
"4014",18
"4015",1
"4016",5
"4017",9
"4018",5
"4019",19
"4020",1
"4021",19
"4022",14
"4023",5
"4024",6
"4025",3
"4026",20
"4027",19
"4028",11
"4029",3
"4030",1
"4031",9
"4032",5
"4033",17
"4034",2
"4035",4
"4036",5
"4037",18
"4038",17
"4039",13
"4040",2
"4041",17
"4042",5
"4043",1
"4044",5
"4045",5
"4046",17
"4047",3
"4048",7
"4049",16
"4050",9
"4051",1
"4052",5
"4053",19
"4054",4
"4055",3
"4056",10
"4057",7
"4058",5
"4059",19
"4060",3
"4061",6
"4062",5
"4063",5
"4064",6
"4065",5
"4066",1
"4067",17
"4068",19
"4069",12
"4070",1
"4071",9
"4072",19
"4073",5
"4074",19
"4075",13
"4076",3
"4077",9
"4078",5
"4079",15
"4080",11
"4081",7
"4082",14
"4083",20
"4084",5
"4085",2
"4086",17
"4087",7
"4088",1
"4089",1
"4090",1
"4091",17
"4092",1
"4093",1
"4094",1
"4095",6
"4096",9
"4097",19
"4098",11
"4099",6
"4100",7
"4101",2
"4102",11
"4103",1
"4104",5
"4105",6
"4106",5
"4107",6
"4108",19
"4109",5
"4110",15
"4111",5
"4112",19
"4113",1
"4114",6
"4115",19
"4116",2
"4117",13
"4118",3
"4119",1
"4120",8
"4121",19
"4122",17
"4123",14
"4124",6
"4125",8
"4126",5
"4127",1
"4128",2
"4129",5
"4130",17
"4131",17
"4132",20
"4133",16
"4134",1
"4135",14
"4136",1
"4137",18
"4138",9
"4139",6
"4140",9
"4141",5
"4142",20
"4143",10
"4144",8
"4145",5
"4146",2
"4147",1
"4148",5
"4149",13
"4150",1
"4151",1
"4152",16
"4153",9
"4154",1
"4155",4
"4156",17
"4157",19
"4158",7
"4159",1
"4160",9
"4161",5
"4162",4
"4163",5
"4164",7
"4165",5
"4166",17
"4167",8
"4168",1
"4169",11
"4170",1
"4171",5
"4172",3
"4173",6
"4174",1
"4175",6
"4176",7
"4177",18
"4178",5
"4179",5
"4180",5
"4181",17
"4182",19
"4183",19
"4184",17
"4185",3
"4186",17
"4187",19
"4188",19
"4189",13
"4190",19
"4191",11
"4192",18
"4193",2
"4194",1
"4195",7
"4196",6
"4197",17
"4198",13
"4199",6
"4200",19
"4201",15
"4202",17
"4203",9
"4204",18
"4205",1
"4206",7
"4207",1
"4208",5
"4209",6
"4210",2
"4211",3
"4212",19
"4213",17
"4214",2
"4215",15
"4216",17
"4217",17
"4218",9
"4219",1
"4220",5
"4221",15
"4222",9
"4223",18
"4224",1
"4225",1
"4226",2
"4227",9
"4228",1
"4229",3
"4230",19
"4231",15
"4232",19
"4233",5
"4234",5
"4235",17
"4236",5
"4237",3
"4238",18
"4239",5
"4240",6
"4241",17
"4242",18
"4243",1
"4244",20
"4245",5
"4246",6
"4247",11
"4248",19
"4249",6
"4250",1
"4251",17
"4252",9
"4253",7
"4254",7
"4255",13
"4256",17
"4257",17
"4258",5
"4259",19
"4260",17
"4261",17
"4262",7
"4263",17
"4264",17
"4265",1
"4266",1
"4267",20
"4268",9
"4269",8
"4270",17
"4271",3
"4272",17
"4273",17
"4274",1
"4275",15
"4276",17
"4277",2
"4278",5
"4279",7
"4280",1
"4281",5
"4282",1
"4283",17
"4284",16
"4285",15
"4286",1
"4287",14
"4288",16
"4289",19
"4290",20
"4291",2
"4292",1
"4293",7
"4294",14
"4295",18
"4296",17
"4297",5
"4298",10
"4299",8
"4300",1
"4301",1
"4302",1
"4303",17
"4304",5
"4305",5
"4306",11
"4307",18
"4308",17
"4309",5
"4310",1
"4311",19
"4312",6
"4313",3
"4314",11
"4315",3
"4316",5
"4317",1
"4318",1
"4319",3
"4320",18
"4321",18
"4322",5
"4323",3
"4324",1
"4325",19
"4326",17
"4327",3
"4328",17
"4329",7
"4330",6
"4331",1
"4332",13
"4333",13
"4334",1
"4335",20
"4336",3
"4337",1
"4338",3
"4339",19
"4340",16
"4341",1
"4342",6
"4343",1
"4344",5
"4345",5
"4346",1
"4347",17
"4348",7
"4349",16
"4350",2
"4351",5
"4352",17
"4353",3
"4354",7
"4355",17
"4356",19
"4357",2
"4358",7
"4359",5
"4360",6
"4361",19
"4362",8
"4363",1
"4364",5
"4365",1
"4366",19
"4367",20
"4368",5
"4369",2
"4370",5
"4371",17
"4372",20
"4373",5
"4374",5
"4375",2
"4376",13
"4377",6
"4378",1
"4379",5
"4380",20
"4381",2
"4382",7
"4383",5
"4384",1
"4385",1
"4386",20
"4387",5
"4388",1
"4389",13
"4390",3
"4391",5
"4392",8
"4393",7
"4394",7
"4395",17
"4396",14
"4397",18
"4398",18
"4399",18
"4400",5
"4401",17
"4402",15
"4403",1
"4404",5
"4405",1
"4406",16
"4407",5
"4408",13
"4409",18
"4410",5
"4411",2
"4412",17
"4413",17
"4414",18
"4415",6
"4416",10
"4417",1
"4418",5
"4419",18
"4420",2
"4421",1
"4422",5
"4423",1
"4424",5
"4425",3
"4426",5
"4427",5
"4428",11
"4429",5
"4430",9
"4431",18
"4432",9
"4433",5
"4434",17
"4435",13
"4436",20
"4437",5
"4438",20
"4439",15
"4440",19
"4441",4
"4442",9
"4443",2
"4444",17
"4445",18
"4446",7
"4447",18
"4448",1
"4449",7
"4450",19
"4451",2
"4452",2
"4453",17
"4454",12
"4455",17
"4456",18
"4457",19
"4458",20
"4459",1
"4460",18
"4461",19
"4462",1
"4463",8
"4464",2
"4465",1
"4466",17
"4467",4
"4468",9
"4469",20
"4470",1
"4471",5
"4472",5
"4473",9
"4474",5
"4475",10
"4476",20
"4477",1
"4478",1
"4479",4
"4480",15
"4481",19
"4482",19
"4483",5
"4484",1
"4485",5
"4486",1
"4487",19
"4488",17
"4489",1
"4490",1
"4491",13
"4492",15
"4493",20
"4494",20
"4495",19
"4496",7
"4497",5
"4498",11
"4499",2
"4500",5
"4501",5
"4502",7
"4503",5
"4504",1
"4505",18
"4506",19
"4507",18
"4508",1
"4509",13
"4510",5
"4511",19
"4512",6
"4513",4
"4514",19
"4515",17
"4516",19
"4517",8
"4518",18
"4519",8
"4520",16
"4521",5
"4522",3
"4523",17
"4524",9
"4525",9
"4526",5
"4527",19
"4528",1
"4529",1
"4530",18
"4531",5
"4532",5
"4533",2
"4534",20
"4535",1
"4536",15
"4537",5
"4538",1
"4539",15
"4540",18
"4541",19
"4542",5
"4543",6
"4544",5
"4545",6
"4546",16
"4547",7
"4548",1
"4549",12
"4550",19
"4551",19
"4552",17
"4553",1
"4554",1
"4555",7
"4556",9
"4557",2
"4558",19
"4559",6
"4560",13
"4561",11
"4562",17
"4563",11
"4564",13
"4565",1
"4566",16
"4567",18
"4568",3
"4569",19
"4570",5
"4571",19
"4572",10
"4573",1
"4574",2
"4575",1
"4576",5
"4577",8
"4578",19
"4579",2
"4580",12
"4581",17
"4582",1
"4583",14
"4584",3
"4585",5
"4586",5
"4587",20
"4588",8
"4589",7
"4590",14
"4591",14
"4592",17
"4593",17
"4594",17
"4595",1
"4596",1
"4597",19
"4598",1
"4599",18
"4600",6
"4601",11
"4602",8
"4603",19
"4604",5
"4605",6
"4606",8
"4607",1
"4608",7
"4609",1
"4610",1
"4611",11
"4612",1
"4613",1
"4614",1
"4615",20
"4616",1
"4617",5
"4618",9
"4619",9
"4620",12
"4621",5
"4622",1
"4623",6
"4624",18
"4625",19
"4626",7
"4627",5
"4628",18
"4629",1
"4630",20
"4631",1
"4632",4
"4633",5
"4634",1
"4635",15
"4636",17
"4637",9
"4638",19
"4639",1
"4640",17
"4641",5
"4642",1
"4643",9
"4644",15
"4645",17
"4646",3
"4647",12
"4648",18
"4649",2
"4650",18
"4651",1
"4652",5
"4653",5
"4654",1
"4655",1
"4656",1
"4657",5
"4658",17
"4659",17
"4660",17
"4661",5
"4662",13
"4663",13
"4664",14
"4665",5
"4666",20
"4667",3
"4668",18
"4669",1
"4670",20
"4671",5
"4672",5
"4673",5
"4674",5
"4675",5
"4676",1
"4677",18
"4678",1
"4679",17
"4680",3
"4681",1
"4682",16
"4683",1
"4684",1
"4685",5
"4686",1
"4687",1
"4688",7
"4689",20
"4690",18
"4691",3
"4692",2
"4693",13
"4694",2
"4695",17
"4696",6
"4697",5
"4698",1
"4699",20
"4700",10
"4701",5
"4702",17
"4703",1
"4704",1
"4705",18
"4706",1
"4707",17
"4708",5
"4709",8
"4710",17
"4711",1
"4712",10
"4713",9
"4714",19
"4715",19
"4716",19
"4717",1
"4718",18
"4719",17
"4720",5
"4721",5
"4722",5
"4723",1
"4724",5
"4725",13
"4726",5
"4727",9
"4728",20
"4729",3
"4730",11
"4731",6
"4732",6
"4733",8
"4734",17
"4735",16
"4736",5
"4737",6
"4738",1
"4739",1
"4740",3
"4741",1
"4742",1
"4743",13
"4744",1
"4745",1
"4746",1
"4747",18
"4748",20
"4749",14
"4750",19
"4751",1
"4752",11
"4753",5
"4754",6
"4755",19
"4756",1
"4757",15
"4758",5
"4759",18
"4760",1
"4761",6
"4762",11
"4763",8
"4764",5
"4765",20
"4766",5
"4767",5
"4768",4
"4769",5
"4770",18
"4771",17
"4772",1
"4773",1
"4774",5
"4775",18
"4776",16
"4777",11
"4778",13
"4779",18
"4780",1
"4781",1
"4782",20
"4783",8
"4784",20
"4785",17
"4786",9
"4787",1
"4788",1
"4789",7
"4790",3
"4791",5
"4792",19
"4793",6
"4794",13
"4795",4
"4796",17
"4797",5
"4798",19
"4799",20
"4800",17
"4801",5
"4802",5
"4803",17
"4804",19
"4805",5
"4806",19
"4807",14
"4808",4
"4809",1
"4810",16
"4811",1
"4812",19
"4813",9
"4814",18
"4815",1
"4816",4
"4817",8
"4818",1
"4819",15
"4820",20
"4821",1
"4822",17
"4823",9
"4824",1
"4825",14
