,X1,cause,effect,doc_ind,sentence_ind
574,620,Xind,Xalarm,166,1
575,621,Xind,Xmaint,166,1
576,622,Xseal,Xbuch,167,1
577,623,Xseal,Xmaint,168,1
578,624,Xseal,Xmaint,168,1
579,625,Xbuch,Xmaint,168,1
580,626,Xseal,Xbreather,169,1
581,627,Xother,Xtransformer,170,1
582,628,Xother,Xtransformer,170,1
583,629,Xbreather,Xtransformer,170,1
584,630,Xbreather,Xtransformer,170,1
585,631,Xlevellow,Xtransformer,171,1
586,632,Xlevelinc,Xtransformer,171,1
587,634,Xlevellow,Xalarm,172,1
588,635,Xlevelinc,Xalarm,172,1
589,636,Xlevellow,Xmaint,173,1
590,637,Xlevelinc,Xmaint,173,1
591,638,Xother,Xind,174,1
592,639,Xother,Xind,174,1
593,640,Xother,Xmaint,174,1
594,641,Xother,Xmaint,174,1
595,642,Xind,Xmaint,174,1
596,643,Xind,Xmaint,174,1
597,644,Xother,Xind,175,1
598,645,Xother,Xind,175,1
599,646,Xother,Xmaint,175,1
600,647,Xother,Xmaint,175,1
601,648,Xind,Xmaint,175,1
602,649,Xind,Xmaint,175,1
603,650,Xtemp,Xalarm,176,1
604,651,Xtemp,Xalarm,176,1
605,652,Xbreather,Xalarm,176,1
606,653,Xother,Xtransformer,177,1
607,654,Xother,Xtransformer,177,1
608,655,Xother,Xtransformer,177,1
609,656,Xother,Xtransformer,177,1
610,657,Xcontrol,Xtransformer,177,1
611,658,Xcontrol,Xtransformer,177,1
612,659,Xother,Xcontrol,178,1
613,660,Xother,Xcontrol,178,1
614,661,Xseal,Xmaint,179,1
615,662,Xbreather,Xmaint,179,1
616,663,Xlevellow,Xtransformer,180,1
617,664,Xlevelinc,Xtransformer,180,1
618,666,Xlevellow,Xlevelinc,181,1
619,668,Xlevellow,Xtransformer,182,1
620,669,Xlevelinc,Xtransformer,182,1
621,671,Xlevellow,Xlevelinc,183,1
622,673,Xother,Xcontrol,184,1
623,674,Xtransformer,Xmaint,185,1
624,675,Xtransformer,Xmaint,185,1
625,676,Xbuch,Xtransformer,185,1
626,677,Xbuch,Xtransformer,185,1
627,678,Xbuch,Xmaint,185,1
628,682,Xcontrol,Xtransformer,185,1
629,683,Xcontrol,Xtransformer,185,1
630,684,Xcontrol,Xmaint,185,1
631,685,Xlevellow,Xmaint,186,1
632,686,Xlevellow,Xmaint,186,1
633,687,Xtemp,Xmaint,186,1
634,689,Xlevellow,Xlevelinc,186,1
635,690,Xlevellow,Xtemp,186,1
636,691,Xlevellow,Xmaint,186,1
637,692,Xlevelinc,Xlevellow,186,1
638,694,Xlevelinc,Xtemp,186,1
639,695,Xlevelinc,Xmaint,186,1
640,696,Xlevellow,Xlevellow,186,1
641,697,Xlevellow,Xlevelinc,186,1
642,698,Xlevellow,Xtemp,186,1
643,699,Xlevellow,Xmaint,186,1
644,701,Xlevellow,Xlevelinc,187,1
645,702,Xlevellow,Xmaint,187,1
646,703,Xlevellow,Xmaint,187,1
647,704,Xlevelinc,Xmaint,187,1
648,705,Xseal,Xtransformer,188,1
649,707,Xother,Xtransformer,189,1
650,708,Xother,Xtransformer,189,1
651,709,Xcontrol,Xtransformer,189,1
652,710,Xother,Xtransformer,190,1
653,711,Xcontrol,Xtransformer,190,1
654,712,Xlevellow,Xmaint,191,1
655,713,Xlevelinc,Xmaint,191,1
